country,type,year,n
Afghanistan,EU,2008,0
Afghanistan,EU,2009,2
Afghanistan,EU,2010,0
Afghanistan,EU,2011,9
Afghanistan,EU,2012,9
Afghanistan,EU,2013,2
Afghanistan,EU,2014,0
Afghanistan,EU,2015,1
Afghanistan,Family,2006,49
Afghanistan,Family,2007,67
Afghanistan,Family,2008,62
Afghanistan,Family,2009,73
Afghanistan,Family,2010,104
Afghanistan,Family,2011,188
Afghanistan,Family,2012,202
Afghanistan,Family,2013,295
Afghanistan,Family,2014,257
Afghanistan,Family,2015,103
Afghanistan,Other,2006,11
Afghanistan,Other,2007,20
Afghanistan,Other,2008,5
Afghanistan,Other,2009,15
Afghanistan,Other,2010,9
Afghanistan,Other,2011,9
Afghanistan,Other,2012,11
Afghanistan,Other,2013,14
Afghanistan,Other,2014,33
Afghanistan,Other,2015,16
Afghanistan,Study,2006,1
Afghanistan,Study,2007,2
Afghanistan,Study,2008,1
Afghanistan,Study,2009,4
Afghanistan,Study,2010,4
Afghanistan,Study,2011,3
Afghanistan,Study,2012,2
Afghanistan,Study,2013,2
Afghanistan,Study,2014,5
Afghanistan,Study,2015,2
Afghanistan,Work,2006,3
Afghanistan,Work,2007,0
Afghanistan,Work,2008,1
Afghanistan,Work,2009,4
Afghanistan,Work,2010,2
Afghanistan,Work,2011,1
Afghanistan,Work,2012,3
Afghanistan,Work,2013,4
Afghanistan,Work,2014,1
Afghanistan,Work,2015,11
Africa not stated,Asylum,2006,0
Africa not stated,Asylum,2007,0
Africa not stated,Asylum,2008,0
Africa not stated,Asylum,2009,0
Africa not stated,Asylum,2010,0
Africa not stated,Asylum,2011,0
Africa not stated,Asylum,2012,0
Africa not stated,Asylum,2013,0
Africa not stated,Asylum,2014,0
Africa not stated,Asylum,2015,0
Africa not stated,EU,2006,0
Africa not stated,EU,2007,0
Africa not stated,EU,2008,0
Africa not stated,EU,2009,0
Africa not stated,EU,2010,0
Africa not stated,EU,2011,0
Africa not stated,EU,2012,0
Africa not stated,EU,2013,0
Africa not stated,EU,2014,0
Africa not stated,EU,2015,0
Africa not stated,Family,2006,0
Africa not stated,Family,2007,0
Africa not stated,Family,2008,0
Africa not stated,Family,2009,0
Africa not stated,Family,2010,0
Africa not stated,Family,2011,0
Africa not stated,Family,2012,0
Africa not stated,Family,2013,0
Africa not stated,Family,2014,0
Africa not stated,Family,2015,0
Africa not stated,Other,2006,0
Africa not stated,Other,2007,0
Africa not stated,Other,2008,0
Africa not stated,Other,2009,0
Africa not stated,Other,2010,0
Africa not stated,Other,2011,0
Africa not stated,Other,2012,0
Africa not stated,Other,2013,0
Africa not stated,Other,2014,0
Africa not stated,Other,2015,0
Africa not stated,Study,2006,0
Africa not stated,Study,2007,0
Africa not stated,Study,2008,0
Africa not stated,Study,2009,0
Africa not stated,Study,2010,0
Africa not stated,Study,2011,0
Africa not stated,Study,2012,0
Africa not stated,Study,2013,0
Africa not stated,Study,2014,0
Africa not stated,Study,2015,0
Africa not stated,Work,2006,0
Africa not stated,Work,2007,0
Africa not stated,Work,2008,0
Africa not stated,Work,2009,0
Africa not stated,Work,2010,0
Africa not stated,Work,2011,0
Africa not stated,Work,2012,0
Africa not stated,Work,2013,0
Africa not stated,Work,2014,0
Africa not stated,Work,2015,0
Albania,Asylum,2006,8
Albania,Asylum,2007,7
Albania,Asylum,2008,1
Albania,Asylum,2009,4
Albania,Asylum,2010,1
Albania,Asylum,2011,0
Albania,Asylum,2012,0
Albania,Asylum,2013,0
Albania,Asylum,2014,0
Albania,Asylum,2015,0
Albania,EU,2006,1
Albania,EU,2007,0
Albania,EU,2008,1
Albania,EU,2009,1
Albania,EU,2010,1
Albania,EU,2011,4
Albania,EU,2012,1
Albania,EU,2013,6
Albania,EU,2014,10
Albania,EU,2015,4
Albania,Family,2006,9
Albania,Family,2007,10
Albania,Family,2008,11
Albania,Family,2009,6
Albania,Family,2010,10
Albania,Family,2011,4
Albania,Family,2012,7
Albania,Family,2013,9
Albania,Family,2014,6
Albania,Family,2015,12
Albania,Other,2006,0
Albania,Other,2007,0
Albania,Other,2008,0
Albania,Other,2009,1
Albania,Other,2010,0
Albania,Other,2011,0
Albania,Other,2012,1
Albania,Other,2013,0
Albania,Other,2014,0
Albania,Other,2015,1
Albania,Study,2006,12
Albania,Study,2007,12
Albania,Study,2008,28
Albania,Study,2009,13
Albania,Study,2010,15
Albania,Study,2011,12
Albania,Study,2012,13
Albania,Study,2013,13
Albania,Study,2014,15
Albania,Study,2015,22
Albania,Work,2006,7
Albania,Work,2007,3
Albania,Work,2008,11
Albania,Work,2009,12
Albania,Work,2010,12
Albania,Work,2011,6
Albania,Work,2012,7
Albania,Work,2013,20
Albania,Work,2014,15
Albania,Work,2015,3
Algeria,Asylum,2006,0
Algeria,Asylum,2007,6
Algeria,Asylum,2008,0
Algeria,Asylum,2009,1
Algeria,Asylum,2010,3
Algeria,Asylum,2011,1
Algeria,Asylum,2012,0
Algeria,Asylum,2013,0
Algeria,Asylum,2014,1
Algeria,Asylum,2015,0
Algeria,EU,2006,0
Algeria,EU,2007,0
Algeria,EU,2008,0
Algeria,EU,2009,2
Algeria,EU,2010,0
Algeria,EU,2011,0
Algeria,EU,2012,2
Algeria,EU,2013,3
Algeria,EU,2014,2
Algeria,EU,2015,2
Algeria,Family,2006,8
Algeria,Family,2007,17
Algeria,Family,2008,8
Algeria,Family,2009,10
Algeria,Family,2010,11
Algeria,Family,2011,9
Algeria,Family,2012,4
Algeria,Family,2013,8
Algeria,Family,2014,12
Algeria,Family,2015,11
Algeria,Other,2006,0
Algeria,Other,2007,0
Algeria,Other,2008,0
Algeria,Other,2009,0
Algeria,Other,2010,0
Algeria,Other,2011,0
Algeria,Other,2012,0
Algeria,Other,2013,0
Algeria,Other,2014,0
Algeria,Other,2015,0
Algeria,Study,2006,0
Algeria,Study,2007,3
Algeria,Study,2008,2
Algeria,Study,2009,3
Algeria,Study,2010,2
Algeria,Study,2011,6
Algeria,Study,2012,3
Algeria,Study,2013,4
Algeria,Study,2014,0
Algeria,Study,2015,2
Algeria,Work,2006,6
Algeria,Work,2007,5
Algeria,Work,2008,5
Algeria,Work,2009,5
Algeria,Work,2010,5
Algeria,Work,2011,11
Algeria,Work,2012,2
Algeria,Work,2013,5
Algeria,Work,2014,9
Algeria,Work,2015,5
Andorra,Asylum,2006,0
Andorra,Asylum,2007,0
Andorra,Asylum,2008,0
Andorra,Asylum,2009,0
Andorra,Asylum,2010,0
Andorra,Asylum,2011,0
Andorra,Asylum,2012,0
Andorra,Asylum,2013,0
Andorra,Asylum,2014,0
Andorra,Asylum,2015,0
Andorra,EU,2006,0
Andorra,EU,2007,0
Andorra,EU,2008,0
Andorra,EU,2009,0
Andorra,EU,2010,0
Andorra,EU,2011,0
Andorra,EU,2012,0
Andorra,EU,2013,0
Andorra,EU,2014,0
Andorra,EU,2015,0
Andorra,Family,2006,0
Andorra,Family,2007,0
Andorra,Family,2008,0
Andorra,Family,2009,0
Andorra,Family,2010,0
Andorra,Family,2011,0
Andorra,Family,2012,0
Andorra,Family,2013,0
Andorra,Family,2014,0
Andorra,Family,2015,0
Andorra,Other,2006,0
Andorra,Other,2007,0
Andorra,Other,2008,0
Andorra,Other,2009,0
Andorra,Other,2010,0
Andorra,Other,2011,0
Andorra,Other,2012,0
Andorra,Other,2013,0
Andorra,Other,2014,0
Andorra,Other,2015,0
Andorra,Study,2006,0
Andorra,Study,2007,0
Andorra,Study,2008,0
Andorra,Study,2009,0
Andorra,Study,2010,0
Andorra,Study,2011,0
Andorra,Study,2012,0
Andorra,Study,2013,0
Andorra,Study,2014,0
Andorra,Study,2015,0
Andorra,Work,2006,0
Andorra,Work,2007,0
Andorra,Work,2008,0
Andorra,Work,2009,0
Andorra,Work,2010,0
Andorra,Work,2011,0
Andorra,Work,2012,0
Andorra,Work,2013,0
Andorra,Work,2014,0
Andorra,Work,2015,0
Angola,Asylum,2006,1
Angola,Asylum,2007,0
Angola,Asylum,2008,2
Angola,Asylum,2009,0
Angola,Asylum,2010,0
Angola,Asylum,2011,0
Angola,Asylum,2012,0
Angola,Asylum,2013,0
Angola,Asylum,2014,0
Angola,Asylum,2015,0
Angola,EU,2006,0
Angola,EU,2007,0
Angola,EU,2008,0
Angola,EU,2009,0
Angola,EU,2010,1
Angola,EU,2011,1
Angola,EU,2012,0
Angola,EU,2013,1
Angola,EU,2014,1
Angola,EU,2015,2
Angola,Family,2006,1
Angola,Family,2007,4
Angola,Family,2008,0
Angola,Family,2009,0
Angola,Family,2010,2
Angola,Family,2011,1
Angola,Family,2012,0
Angola,Family,2013,3
Angola,Family,2014,1
Angola,Family,2015,0
Angola,Other,2006,0
Angola,Other,2007,0
Angola,Other,2008,0
Angola,Other,2009,0
Angola,Other,2010,0
Angola,Other,2011,0
Angola,Other,2012,0
Angola,Other,2013,0
Angola,Other,2014,0
Angola,Other,2015,0
Angola,Study,2006,0
Angola,Study,2007,0
Angola,Study,2008,0
Angola,Study,2009,0
Angola,Study,2010,0
Angola,Study,2011,0
Angola,Study,2012,0
Angola,Study,2013,0
Angola,Study,2014,1
Angola,Study,2015,1
Angola,Work,2006,0
Angola,Work,2007,3
Angola,Work,2008,0
Angola,Work,2009,0
Angola,Work,2010,0
Angola,Work,2011,0
Angola,Work,2012,1
Angola,Work,2013,1
Angola,Work,2014,9
Angola,Work,2015,5
Antigua and Barbuda,Asylum,2006,0
Antigua and Barbuda,Asylum,2007,0
Antigua and Barbuda,Asylum,2008,0
Antigua and Barbuda,Asylum,2009,0
Antigua and Barbuda,Asylum,2010,0
Antigua and Barbuda,Asylum,2011,0
Antigua and Barbuda,Asylum,2012,0
Antigua and Barbuda,Asylum,2013,0
Antigua and Barbuda,Asylum,2014,0
Antigua and Barbuda,Asylum,2015,0
Antigua and Barbuda,EU,2006,0
Antigua and Barbuda,EU,2007,0
Antigua and Barbuda,EU,2008,0
Antigua and Barbuda,EU,2009,0
Antigua and Barbuda,EU,2010,0
Antigua and Barbuda,EU,2011,0
Antigua and Barbuda,EU,2012,0
Antigua and Barbuda,EU,2013,0
Antigua and Barbuda,EU,2014,0
Antigua and Barbuda,EU,2015,0
Antigua and Barbuda,Family,2006,0
Antigua and Barbuda,Family,2007,0
Antigua and Barbuda,Family,2008,0
Antigua and Barbuda,Family,2009,0
Antigua and Barbuda,Family,2010,0
Antigua and Barbuda,Family,2011,0
Antigua and Barbuda,Family,2012,0
Antigua and Barbuda,Family,2013,0
Antigua and Barbuda,Family,2014,0
Antigua and Barbuda,Family,2015,0
Antigua and Barbuda,Other,2006,0
Antigua and Barbuda,Other,2007,0
Antigua and Barbuda,Other,2008,0
Antigua and Barbuda,Other,2009,0
Antigua and Barbuda,Other,2010,0
Antigua and Barbuda,Other,2011,0
Antigua and Barbuda,Other,2012,0
Antigua and Barbuda,Other,2013,0
Antigua and Barbuda,Other,2014,0
Antigua and Barbuda,Other,2015,0
Antigua and Barbuda,Study,2006,0
Antigua and Barbuda,Study,2007,0
Antigua and Barbuda,Study,2008,0
Antigua and Barbuda,Study,2009,0
Antigua and Barbuda,Study,2010,0
Antigua and Barbuda,Study,2011,0
Antigua and Barbuda,Study,2012,0
Antigua and Barbuda,Study,2013,0
Antigua and Barbuda,Study,2014,1
Antigua and Barbuda,Study,2015,1
Antigua and Barbuda,Work,2006,0
Antigua and Barbuda,Work,2007,0
Antigua and Barbuda,Work,2008,0
Antigua and Barbuda,Work,2009,0
Antigua and Barbuda,Work,2010,0
Antigua and Barbuda,Work,2011,0
Antigua and Barbuda,Work,2012,0
Antigua and Barbuda,Work,2013,0
Antigua and Barbuda,Work,2014,0
Antigua and Barbuda,Work,2015,0
Argentina,Asylum,2006,0
Argentina,Asylum,2007,0
Argentina,Asylum,2008,0
Argentina,Asylum,2009,0
Argentina,Asylum,2010,0
Argentina,Asylum,2011,0
Argentina,Asylum,2012,0
Argentina,Asylum,2013,0
Argentina,Asylum,2014,0
Argentina,Asylum,2015,0
Argentina,EU,2006,3
Argentina,EU,2007,3
Argentina,EU,2008,0
Argentina,EU,2009,9
Argentina,EU,2010,2
Argentina,EU,2011,7
Argentina,EU,2012,6
Argentina,EU,2013,3
Argentina,EU,2014,5
Argentina,EU,2015,7
Argentina,Family,2006,11
Argentina,Family,2007,17
Argentina,Family,2008,8
Argentina,Family,2009,5
Argentina,Family,2010,13
Argentina,Family,2011,3
Argentina,Family,2012,4
Argentina,Family,2013,16
Argentina,Family,2014,13
Argentina,Family,2015,16
Argentina,Other,2006,7
Argentina,Other,2007,2
Argentina,Other,2008,3
Argentina,Other,2009,1
Argentina,Other,2010,0
Argentina,Other,2011,2
Argentina,Other,2012,5
Argentina,Other,2013,0
Argentina,Other,2014,6
Argentina,Other,2015,2
Argentina,Study,2006,30
Argentina,Study,2007,24
Argentina,Study,2008,45
Argentina,Study,2009,24
Argentina,Study,2010,24
Argentina,Study,2011,37
Argentina,Study,2012,45
Argentina,Study,2013,83
Argentina,Study,2014,178
Argentina,Study,2015,393
Argentina,Work,2006,6
Argentina,Work,2007,24
Argentina,Work,2008,16
Argentina,Work,2009,13
Argentina,Work,2010,13
Argentina,Work,2011,17
Argentina,Work,2012,21
Argentina,Work,2013,18
Argentina,Work,2014,37
Argentina,Work,2015,29
Armenia,Asylum,2006,7
Armenia,Asylum,2007,1
Armenia,Asylum,2008,10
Armenia,Asylum,2009,3
Armenia,Asylum,2010,6
Armenia,Asylum,2011,10
Armenia,Asylum,2012,12
Armenia,Asylum,2013,27
Armenia,Asylum,2014,11
Armenia,Asylum,2015,17
Armenia,EU,2006,2
Armenia,EU,2007,2
Armenia,EU,2008,0
Armenia,EU,2009,0
Armenia,EU,2010,0
Armenia,EU,2011,2
Armenia,EU,2012,0
Armenia,EU,2013,1
Armenia,EU,2014,0
Armenia,EU,2015,2
Armenia,Family,2006,3
Armenia,Family,2007,7
Armenia,Family,2008,5
Armenia,Family,2009,11
Armenia,Family,2010,5
Armenia,Family,2011,3
Armenia,Family,2012,2
Armenia,Family,2013,15
Armenia,Family,2014,7
Armenia,Family,2015,8
Armenia,Other,2006,0
Armenia,Other,2007,1
Armenia,Other,2008,0
Armenia,Other,2009,0
Armenia,Other,2010,1
Armenia,Other,2011,1
Armenia,Other,2012,0
Armenia,Other,2013,0
Armenia,Other,2014,7
Armenia,Other,2015,0
Armenia,Study,2006,9
Armenia,Study,2007,11
Armenia,Study,2008,6
Armenia,Study,2009,4
Armenia,Study,2010,5
Armenia,Study,2011,5
Armenia,Study,2012,5
Armenia,Study,2013,6
Armenia,Study,2014,5
Armenia,Study,2015,7
Armenia,Work,2006,8
Armenia,Work,2007,7
Armenia,Work,2008,8
Armenia,Work,2009,4
Armenia,Work,2010,11
Armenia,Work,2011,16
Armenia,Work,2012,8
Armenia,Work,2013,24
Armenia,Work,2014,16
Armenia,Work,2015,12
Aruba,Asylum,2006,0
Aruba,Asylum,2007,0
Aruba,Asylum,2008,0
Aruba,Asylum,2009,0
Aruba,Asylum,2010,0
Aruba,Asylum,2011,0
Aruba,Asylum,2012,0
Aruba,Asylum,2013,0
Aruba,Asylum,2014,0
Aruba,Asylum,2015,0
Aruba,EU,2006,0
Aruba,EU,2007,0
Aruba,EU,2008,0
Aruba,EU,2009,0
Aruba,EU,2010,0
Aruba,EU,2011,0
Aruba,EU,2012,0
Aruba,EU,2013,0
Aruba,EU,2014,0
Aruba,EU,2015,0
Aruba,Family,2006,0
Aruba,Family,2007,0
Aruba,Family,2008,0
Aruba,Family,2009,0
Aruba,Family,2010,0
Aruba,Family,2011,0
Aruba,Family,2012,0
Aruba,Family,2013,0
Aruba,Family,2014,0
Aruba,Family,2015,0
Aruba,Other,2006,0
Aruba,Other,2007,0
Aruba,Other,2008,0
Aruba,Other,2009,0
Aruba,Other,2010,0
Aruba,Other,2011,0
Aruba,Other,2012,0
Aruba,Other,2013,0
Aruba,Other,2014,0
Aruba,Other,2015,0
Aruba,Study,2006,0
Aruba,Study,2007,0
Aruba,Study,2008,0
Aruba,Study,2009,0
Aruba,Study,2010,0
Aruba,Study,2011,0
Aruba,Study,2012,0
Aruba,Study,2013,0
Aruba,Study,2014,0
Aruba,Study,2015,0
Aruba,Work,2006,0
Aruba,Work,2007,0
Aruba,Work,2008,0
Aruba,Work,2009,0
Aruba,Work,2010,0
Aruba,Work,2011,0
Aruba,Work,2012,0
Aruba,Work,2013,0
Aruba,Work,2014,0
Aruba,Work,2015,0
Asia not stated,Asylum,2006,0
Asia not stated,Asylum,2007,0
Asia not stated,Asylum,2008,0
Asia not stated,Asylum,2009,0
Asia not stated,Asylum,2010,0
Asia not stated,Asylum,2011,0
Asia not stated,Asylum,2012,0
Asia not stated,Asylum,2013,0
Asia not stated,Asylum,2014,0
Asia not stated,Asylum,2015,0
Asia not stated,EU,2006,0
Asia not stated,EU,2007,0
Asia not stated,EU,2008,0
Asia not stated,EU,2009,0
Asia not stated,EU,2010,0
Asia not stated,EU,2011,0
Asia not stated,EU,2012,0
Asia not stated,EU,2013,0
Asia not stated,EU,2014,0
Asia not stated,EU,2015,0
Asia not stated,Family,2006,0
Asia not stated,Family,2007,0
Asia not stated,Family,2008,0
Asia not stated,Family,2009,0
Asia not stated,Family,2010,0
Asia not stated,Family,2011,0
Asia not stated,Family,2012,0
Asia not stated,Family,2013,0
Asia not stated,Family,2014,0
Asia not stated,Family,2015,0
Asia not stated,Other,2006,0
Asia not stated,Other,2007,0
Asia not stated,Other,2008,0
Asia not stated,Other,2009,0
Asia not stated,Other,2010,0
Asia not stated,Other,2011,0
Asia not stated,Other,2012,0
Asia not stated,Other,2013,0
Asia not stated,Other,2014,0
Asia not stated,Other,2015,0
Asia not stated,Study,2006,0
Asia not stated,Study,2007,0
Asia not stated,Study,2008,0
Asia not stated,Study,2009,0
Asia not stated,Study,2010,0
Asia not stated,Study,2011,0
Asia not stated,Study,2012,0
Asia not stated,Study,2013,0
Asia not stated,Study,2014,0
Asia not stated,Study,2015,0
Asia not stated,Work,2006,0
Asia not stated,Work,2007,0
Asia not stated,Work,2008,0
Asia not stated,Work,2009,0
Asia not stated,Work,2010,0
Asia not stated,Work,2011,0
Asia not stated,Work,2012,0
Asia not stated,Work,2013,0
Asia not stated,Work,2014,0
Asia not stated,Work,2015,0
Australia,Asylum,2006,0
Australia,Asylum,2007,0
Australia,Asylum,2008,0
Australia,Asylum,2009,0
Australia,Asylum,2010,0
Australia,Asylum,2011,0
Australia,Asylum,2012,0
Australia,Asylum,2013,0
Australia,Asylum,2014,0
Australia,Asylum,2015,0
Australia,EU,2006,5
Australia,EU,2007,2
Australia,EU,2008,4
Australia,EU,2009,14
Australia,EU,2010,19
Australia,EU,2011,11
Australia,EU,2012,14
Australia,EU,2013,18
Australia,EU,2014,12
Australia,EU,2015,27
Australia,Family,2006,45
Australia,Family,2007,35
Australia,Family,2008,36
Australia,Family,2009,35
Australia,Family,2010,37
Australia,Family,2011,30
Australia,Family,2012,29
Australia,Family,2013,38
Australia,Family,2014,43
Australia,Family,2015,35
Australia,Other,2006,15
Australia,Other,2007,15
Australia,Other,2008,6
Australia,Other,2009,12
Australia,Other,2010,13
Australia,Other,2011,8
Australia,Other,2012,11
Australia,Other,2013,9
Australia,Other,2014,6
Australia,Other,2015,11
Australia,Study,2006,345
Australia,Study,2007,459
Australia,Study,2008,475
Australia,Study,2009,500
Australia,Study,2010,423
Australia,Study,2011,480
Australia,Study,2012,364
Australia,Study,2013,466
Australia,Study,2014,487
Australia,Study,2015,478
Australia,Work,2006,118
Australia,Work,2007,123
Australia,Work,2008,127
Australia,Work,2009,114
Australia,Work,2010,121
Australia,Work,2011,131
Australia,Work,2012,122
Australia,Work,2013,131
Australia,Work,2014,159
Australia,Work,2015,201
Austria,Asylum,2006,0
Austria,Asylum,2007,0
Austria,Asylum,2008,0
Austria,Asylum,2009,0
Austria,Asylum,2010,0
Austria,Asylum,2011,0
Austria,Asylum,2012,0
Austria,Asylum,2013,0
Austria,Asylum,2014,0
Austria,Asylum,2015,0
Austria,EU,2006,229
Austria,EU,2007,259
Austria,EU,2008,235
Austria,EU,2009,285
Austria,EU,2010,316
Austria,EU,2011,307
Austria,EU,2012,284
Austria,EU,2013,330
Austria,EU,2014,318
Austria,EU,2015,317
Austria,Family,2006,0
Austria,Family,2007,0
Austria,Family,2008,0
Austria,Family,2009,1
Austria,Family,2010,2
Austria,Family,2011,0
Austria,Family,2012,0
Austria,Family,2013,1
Austria,Family,2014,0
Austria,Family,2015,1
Austria,Other,2006,1
Austria,Other,2007,0
Austria,Other,2008,0
Austria,Other,2009,0
Austria,Other,2010,0
Austria,Other,2011,0
Austria,Other,2012,0
Austria,Other,2013,0
Austria,Other,2014,0
Austria,Other,2015,0
Austria,Study,2006,4
Austria,Study,2007,3
Austria,Study,2008,4
Austria,Study,2009,7
Austria,Study,2010,4
Austria,Study,2011,0
Austria,Study,2012,1
Austria,Study,2013,0
Austria,Study,2014,0
Austria,Study,2015,0
Austria,Work,2006,1
Austria,Work,2007,4
Austria,Work,2008,4
Austria,Work,2009,0
Austria,Work,2010,0
Austria,Work,2011,0
Austria,Work,2012,0
Austria,Work,2013,1
Austria,Work,2014,0
Austria,Work,2015,0
Azerbaijan,Asylum,2006,5
Azerbaijan,Asylum,2007,10
Azerbaijan,Asylum,2008,15
Azerbaijan,Asylum,2009,5
Azerbaijan,Asylum,2010,10
Azerbaijan,Asylum,2011,2
Azerbaijan,Asylum,2012,3
Azerbaijan,Asylum,2013,11
Azerbaijan,Asylum,2014,14
Azerbaijan,Asylum,2015,3
Azerbaijan,EU,2006,0
Azerbaijan,EU,2007,0
Azerbaijan,EU,2008,0
Azerbaijan,EU,2009,2
Azerbaijan,EU,2010,1
Azerbaijan,EU,2011,0
Azerbaijan,EU,2012,1
Azerbaijan,EU,2013,0
Azerbaijan,EU,2014,0
Azerbaijan,EU,2015,0
Azerbaijan,Family,2006,4
Azerbaijan,Family,2007,0
Azerbaijan,Family,2008,5
Azerbaijan,Family,2009,2
Azerbaijan,Family,2010,5
Azerbaijan,Family,2011,7
Azerbaijan,Family,2012,3
Azerbaijan,Family,2013,5
Azerbaijan,Family,2014,2
Azerbaijan,Family,2015,8
Azerbaijan,Other,2006,1
Azerbaijan,Other,2007,0
Azerbaijan,Other,2008,0
Azerbaijan,Other,2009,0
Azerbaijan,Other,2010,0
Azerbaijan,Other,2011,0
Azerbaijan,Other,2012,0
Azerbaijan,Other,2013,0
Azerbaijan,Other,2014,0
Azerbaijan,Other,2015,0
Azerbaijan,Study,2006,1
Azerbaijan,Study,2007,3
Azerbaijan,Study,2008,2
Azerbaijan,Study,2009,2
Azerbaijan,Study,2010,6
Azerbaijan,Study,2011,2
Azerbaijan,Study,2012,4
Azerbaijan,Study,2013,4
Azerbaijan,Study,2014,4
Azerbaijan,Study,2015,5
Azerbaijan,Work,2006,1
Azerbaijan,Work,2007,5
Azerbaijan,Work,2008,1
Azerbaijan,Work,2009,14
Azerbaijan,Work,2010,3
Azerbaijan,Work,2011,8
Azerbaijan,Work,2012,8
Azerbaijan,Work,2013,10
Azerbaijan,Work,2014,9
Azerbaijan,Work,2015,6
Bahamas,Asylum,2006,0
Bahamas,Asylum,2007,0
Bahamas,Asylum,2008,0
Bahamas,Asylum,2009,0
Bahamas,Asylum,2010,0
Bahamas,Asylum,2011,0
Bahamas,Asylum,2012,0
Bahamas,Asylum,2013,0
Bahamas,Asylum,2014,0
Bahamas,Asylum,2015,0
Bahamas,EU,2006,0
Bahamas,EU,2007,0
Bahamas,EU,2008,0
Bahamas,EU,2009,0
Bahamas,EU,2010,0
Bahamas,EU,2011,0
Bahamas,EU,2012,0
Bahamas,EU,2013,0
Bahamas,EU,2014,0
Bahamas,EU,2015,0
Bahamas,Family,2006,0
Bahamas,Family,2007,0
Bahamas,Family,2008,0
Bahamas,Family,2009,0
Bahamas,Family,2010,0
Bahamas,Family,2011,0
Bahamas,Family,2012,0
Bahamas,Family,2013,1
Bahamas,Family,2014,0
Bahamas,Family,2015,0
Bahamas,Other,2006,0
Bahamas,Other,2007,0
Bahamas,Other,2008,0
Bahamas,Other,2009,0
Bahamas,Other,2010,0
Bahamas,Other,2011,0
Bahamas,Other,2012,0
Bahamas,Other,2013,0
Bahamas,Other,2014,0
Bahamas,Other,2015,0
Bahamas,Study,2006,0
Bahamas,Study,2007,0
Bahamas,Study,2008,0
Bahamas,Study,2009,0
Bahamas,Study,2010,0
Bahamas,Study,2011,1
Bahamas,Study,2012,1
Bahamas,Study,2013,2
Bahamas,Study,2014,1
Bahamas,Study,2015,1
Bahamas,Work,2006,0
Bahamas,Work,2007,0
Bahamas,Work,2008,0
Bahamas,Work,2009,0
Bahamas,Work,2010,0
Bahamas,Work,2011,0
Bahamas,Work,2012,2
Bahamas,Work,2013,0
Bahamas,Work,2014,0
Bahamas,Work,2015,0
Bahrain,Asylum,2006,0
Bahrain,Asylum,2007,0
Bahrain,Asylum,2008,0
Bahrain,Asylum,2009,0
Bahrain,Asylum,2010,0
Bahrain,Asylum,2011,0
Bahrain,Asylum,2012,0
Bahrain,Asylum,2013,0
Bahrain,Asylum,2014,0
Bahrain,Asylum,2015,0
Bahrain,EU,2006,0
Bahrain,EU,2007,0
Bahrain,EU,2008,0
Bahrain,EU,2009,0
